,0,1
0,16,3
1,83,5
2,151,3
3,86,3
4,7,5
5,67,5
6,307,5
7,73,4
8,87,4
9,43,3
10,11,3
11,80,5
12,2,5
13,230,4
14,63,4
15,35,4
16,468,3
17,21,5
18,16,3
19,59,4
20,13,2
21,188,5
22,37,5
23,86,4
24,67,5
25,204,5
26,71,5
27,21,3
28,581,5
29,48,3
30,60,5
31,85,5
32,91,2
33,20,5
34,174,5
35,62,4
36,15,4
37,91,5
38,70,3
39,46,5
40,1,5
41,2,5
42,419,4
43,1,5
44,109,3
45,10,2
46,2,4
47,6,3
48,15,4
49,1,5
50,1,4
51,11,5
52,56,3
53,54,5
54,62,5
55,4,2
56,21,5
57,261,3
58,10,5
59,91,4
60,48,5
61,9,4
62,90,4
63,1,1
64,20,4
65,184,5
66,22,5
67,82,4
68,10,5
69,88,5
70,11,4
71,370,4
72,65,5
73,2,2
74,46,5
75,103,4
76,158,5
77,61,5
78,58,5
79,31,3
80,120,5
81,3,5
82,58,4
83,97,5
84,179,4
85,11,2
86,11,5
87,11,5
88,6,4
89,60,5
90,35,3
91,30,5
92,72,4
93,4,5
94,206,5
95,9,4
96,71,5
97,89,3
98,76,5
99,10,5
100,91,5
101,35,4
102,37,4
103,207,5
104,4,3
105,520,5
106,24,4
107,16,5
108,62,1
109,17,3
110,75,4
111,27,5
112,57,4
113,254,5
114,121,5
115,88,4
116,21,5
117,6,5
118,10,4
119,10,4
120,163,5
121,91,4
122,249,5
123,6,5
124,58,5
125,58,4
126,166,4
127,38,5
128,76,5
129,98,5
130,90,4
131,57,5
132,8,3
133,8,5
134,37,4
135,45,5
136,16,4
137,52,5
138,73,5
139,36,5
140,13,2
141,59,4
142,72,4
143,50,2
144,22,3
145,67,4
146,91,5
147,18,3
148,10,4
149,53,2
150,90,5
151,78,2
152,80,3
153,31,2
154,262,4
155,38,2
156,132,4
157,11,4
158,40,5
159,70,5
160,227,2
161,16,5
162,12,2
163,17,5
164,14,3
165,129,4
166,129,5
167,77,2
168,31,5
169,62,5
170,13,4
171,13,4
172,70,4
173,33,4
174,118,2
175,88,5
176,185,5
177,64,5
178,491,3
179,94,5
180,28,5
181,259,4
182,20,5
183,26,5
184,107,5
185,465,4
186,65,5
187,23,3
188,66,5
189,493,5
190,196,5
191,29,5
192,61,5
193,178,5
194,60,5
195,258,4
196,32,5
197,37,5
198,101,5
199,77,5
200,57,5
201,63,4
202,84,5
203,80,5
204,139,5
205,63,5
206,383,4
207,42,5
208,89,3
209,139,5
210,134,5
211,57,5
212,57,4
213,42,4
214,81,5
215,45,4
216,45,5
217,352,4
218,91,3
219,60,5
220,53,4
221,59,4
222,75,2
223,57,5
224,65,3
225,75,5
226,176,5
227,59,2
228,197,4
229,57,5
230,78,4
231,58,5
232,58,1
233,58,5
234,60,5
235,60,5
236,60,4
237,88,5
238,117,4
239,60,5
240,62,3
241,63,2
242,63,5
243,65,1
244,103,5
245,122,5
246,68,3
247,68,5
248,71,5
249,71,5
250,72,5
251,99,5
252,74,4
253,74,5
254,74,5
255,75,4
256,75,5
257,78,4
258,126,3
259,79,4
260,80,4
261,84,3
262,86,4
263,88,5
264,91,5
265,101,5
266,113,2
267,117,3
268,122,3
269,129,4
270,130,4
271,136,3
272,142,5
273,144,5
274,150,4
275,152,5
276,153,5
277,154,5
278,159,3
279,165,4
280,228,4
281,232,3
282,233,4
283,301,5
284,310,4
285,397,5
286,955,5
287,1153,5
288,1322,5
289,91,5
290,81,5
291,0,1
292,0,4
293,70,4
294,6,5
295,45,4
296,56,1
297,56,4
298,51,4
299,35,5
300,37,4
301,14,3
302,7,3
303,17,3
304,33,5
305,31,3
306,7,2
307,82,5
308,56,2
309,14,3
310,31,3
311,21,4
312,61,3
313,48,5
314,6,5
315,45,3
316,11,5
317,2,4
318,26,5
319,307,3
320,2,1
321,31,5
322,35,3
323,65,5
324,55,3
325,21,5
326,2,5
327,28,5
328,4,4
329,20,5
330,33,5
331,3,5
332,50,4
333,59,5
334,4,3
335,66,3
336,34,5
337,85,1
338,90,5
339,42,4
340,22,5
341,41,4
342,62,4
343,12,5
344,24,5
345,9,4
346,28,1
347,20,3
348,147,1
349,6,2
350,75,3
351,7,5
352,37,4
353,9,5
354,140,4
355,91,5
356,60,3
357,50,5
358,29,5
359,9,4
360,9,5
361,30,4
362,90,5
363,156,5
364,27,3
365,53,4
366,84,5
367,16,4
368,12,5
369,12,5
370,42,4
371,31,5
372,53,5
373,12,4
374,61,4
375,13,5
376,22,5
377,14,4
378,34,4
379,183,5
380,18,5
381,64,4
382,46,3
383,70,2
384,21,4
385,22,4
386,23,5
387,59,3
388,91,3
389,28,5
390,156,3
391,41,2
392,34,5
393,34,5
394,36,5
395,41,5
396,41,5
397,45,1
398,97,5
399,42,3
400,88,5
401,46,4
402,98,5
403,51,2
404,54,5
405,80,5
406,57,2
407,59,5
408,59,2
409,60,4
410,60,4
411,71,3
412,62,5
413,71,5
414,63,3
415,67,5
416,69,4
417,71,4
418,78,2
419,77,2
420,87,5
421,89,5
422,90,3
423,111,5
424,113,1
425,113,5
426,131,5
427,133,5
428,145,2
429,148,5
430,156,5
431,160,2
432,160,5
433,230,5
434,87,5
435,132,3
436,150,4
437,384,3
438,0,3
439,31,3
440,3,5
441,231,2
442,490,4
443,62,5
444,4,3
445,404,4
446,6,5
447,4,4
448,3,5
449,105,5
450,47,5
451,287,3
452,7,4
453,196,5
454,4,4
455,22,4
456,24,5
457,22,5
458,28,5
459,133,4
460,7,5
461,8,5
462,2,4
463,159,4
464,22,1
465,6,5
466,13,3
467,34,5
468,88,3
469,21,5
470,90,2
471,88,4
472,8,5
473,2,3
474,2,2
475,15,4
476,329,5
