,0,1,2,3,4
149,Subaru,Legacy,mechanical,other,343444
150,Subaru,Legacy,mechanical,green,212000
151,Subaru,Outback,automatic,other,50000
152,Subaru,Impreza,mechanical,silver,295000
153,Subaru,Forester,automatic,other,116000
154,Subaru,Impreza,mechanical,black,182000
155,Subaru,Forester,mechanical,red,226800
156,Subaru,Impreza,automatic,white,339572
157,Subaru,Tribeca,automatic,other,104000
158,Subaru,Outback,automatic,black,187000
159,Subaru,Forester,automatic,grey,92300
160,Subaru,Forester,automatic,black,135000
161,Subaru,XV,mechanical,blue,76000
162,Subaru,XV,mechanical,grey,72000
163,Subaru,Tribeca,automatic,blue,35000
164,Subaru,Outback,automatic,blue,170000
165,Subaru,Forester,mechanical,black,364000
166,Subaru,XV,automatic,grey,25480
167,Subaru,Legacy,mechanical,black,144841
168,Subaru,Legacy,automatic,silver,280000
169,Subaru,Outback,automatic,grey,187000
170,Subaru,Forester,automatic,other,45250
171,Subaru,Forester,automatic,other,80467
172,Subaru,Tribeca,automatic,grey,145000
173,Subaru,Legacy,automatic,violet,333134
174,Subaru,Outback,automatic,white,175000
175,Subaru,Forester,mechanical,black,170000
176,Subaru,Impreza,automatic,blue,180000
177,Subaru,Outback,mechanical,other,292901
178,Subaru,Outback,automatic,silver,380000
179,Subaru,Outback,automatic,other,328000
180,Subaru,Legacy,mechanical,silver,235000
181,Subaru,Legacy,mechanical,green,26500
182,Subaru,Legacy,mechanical,blue,273588
183,Subaru,Forester,mechanical,silver,221100
184,Subaru,Outback,automatic,black,198242
185,Subaru,Outback,mechanical,blue,263105
186,Subaru,Forester,automatic,silver,109000
187,Subaru,Outback,mechanical,black,350000
188,Subaru,Legacy,automatic,green,200000
189,Subaru,Forester,automatic,black,193121
190,Subaru,Forester,automatic,other,241402
191,Subaru,Legacy,mechanical,green,250000
192,Subaru,Legacy,automatic,blue,321869
193,Subaru,Legacy,mechanical,silver,239065
194,Subaru,Legacy,mechanical,silver,25000
195,Subaru,Legacy,automatic,white,185000
196,Subaru,Outback,automatic,blue,350000
197,Subaru,Forester,automatic,black,198000
198,Subaru,Legacy,automatic,black,205000
199,Subaru,Tribeca,automatic,grey,154000
200,Subaru,Forester,automatic,white,225308
201,Subaru,Libero,mechanical,green,178900
202,Subaru,Forester,automatic,red,176000
203,Subaru,Outback,automatic,black,240000
204,Subaru,Legacy,automatic,silver,325000
205,Subaru,Tribeca,automatic,white,140000
206,Subaru,Legacy,automatic,blue,121000
207,Subaru,Outback,automatic,green,347000
208,Subaru,Justy,mechanical,black,122000
209,Subaru,Impreza,automatic,other,289682
210,Subaru,Impreza,mechanical,white,98000
211,Subaru,XV,automatic,silver,93342
212,Subaru,Outback,automatic,other,52000
213,Subaru,Forester,automatic,silver,199500
214,Subaru,Tribeca,automatic,grey,160934
215,Subaru,Forester,mechanical,green,344400
216,Subaru,Impreza,mechanical,blue,155000
217,Subaru,Impreza,mechanical,blue,97000
218,Subaru,Legacy,mechanical,grey,222089
219,Subaru,Impreza,mechanical,black,190000
220,Subaru,Outback,automatic,other,13000
221,Subaru,Legacy,mechanical,red,280000
222,Subaru,Forester,automatic,black,150200
223,Subaru,Forester,automatic,green,228527
224,Subaru,Outback,automatic,silver,180000
225,Subaru,Legacy,mechanical,black,350000
226,Subaru,Outback,mechanical,blue,449007
227,Subaru,Outback,automatic,black,241402
228,Subaru,Forester,mechanical,blue,453024
229,Subaru,Outback,automatic,black,237000
230,Subaru,Legacy,automatic,blue,390000
231,Subaru,Forester,automatic,grey,305775
232,Subaru,Forester,mechanical,red,518209
233,Subaru,Impreza,automatic,silver,287000
234,Subaru,Forester,mechanical,silver,325000
235,Subaru,Forester,automatic,black,390000
236,Subaru,Libero,mechanical,white,300000
237,Subaru,Outback,automatic,black,500000
